iter	MAE	RMSE
299	0.2523389724	0.3677416574
300	0.2511776954	0.3662878046
301	0.2492201082	0.3633571824
302	0.247611557	0.3615910531
303	0.2454416554	0.3585719204
304	0.244006621	0.3561047961
305	0.2428103704	0.3544147787
306	0.2407250838	0.3523255222
307	0.2392169788	0.3503303964
308	0.2375093718	0.3482346337
309	0.2353055421	0.3456319646
310	0.2341257394	0.3432873518
311	0.2331928773	0.3423323117
312	0.2322357429	0.3409184629
313	0.2308108299	0.3388755548
314	0.2298835079	0.3377071756
315	0.2287719276	0.3359680667
316	0.2272799019	0.3336000632
317	0.2262841701	0.3321672764
318	0.2253838635	0.3303393154
319	0.2231792139	0.3275452284
320	0.2221653798	0.3262033045
321	0.2202683338	0.3226566112
322	0.2189078944	0.3213077063
323	0.2180701988	0.3199292394
324	0.21605308	0.3171827067
325	0.2142669507	0.3142165703
326	0.2122620492	0.3122264197
327	0.2106682085	0.309655986
328	0.2098316719	0.3083371575
329	0.2089120587	0.3070645299
330	0.2079494722	0.3055621551
331	0.2071279396	0.3044261015
332	0.2051846822	0.3018719373
333	0.2034357684	0.2995716449
334	0.2025925342	0.2976672754
335	0.2014527152	0.296528532
336	0.2008133486	0.2958712643
337	0.1990556194	0.293678423
338	0.1977869395	0.2920979804
339	0.196747665	0.2910178661
340	0.19494807	0.288882733
341	0.1939198982	0.2871092821
342	0.1932012696	0.2858049854
343	0.1920214299	0.283838404
344	0.1911154964	0.2826796656
345	0.190221495	0.2814579768
346	0.1886967755	0.2788955663
347	0.1879451411	0.2777741913
348	0.1867207657	0.2758788128
349	0.1856416287	0.2738755168
350	0.1847006555	0.2725167811
351	0.1834148867	0.2707700661
352	0.1821696089	0.269303929
353	0.1810923224	0.2675154771
354	0.1805506173	0.2663165853
355	0.1791326304	0.2644894481
356	0.1782971013	0.2633882518
357	0.1772260676	0.2618327443
358	0.1764764167	0.2609019796
359	0.1757391611	0.259592054
360	0.1746210078	0.2576639136
361	0.1741583765	0.2571823194
362	0.1727742657	0.2551939878
363	0.1715043391	0.2535794908
364	0.170610172	0.251991643
365	0.1691288891	0.2502172472
366	0.1680960741	0.2490430891
367	0.1665521469	0.2472376919
368	0.1657777093	0.2462066417
369	0.1643240401	0.2439874245
370	0.1628817926	0.2421486015
371	0.1619495796	0.2406736076
372	0.1606905242	0.2387309673
373	0.1597446918	0.2374830199
374	0.1594087439	0.2364246318
375	0.1588673621	0.2357061114
376	0.1577727457	0.2339114316
377	0.1563067842	0.2318194538
378	0.1557910759	0.2309776095
379	0.1543425941	0.2286357759
380	0.1535442591	0.2278536223
381	0.1527909482	0.226905557
382	0.1515920506	0.2253989594
383	0.1507403808	0.2241811553
384	0.1499542962	0.2230847273
385	0.149202073	0.221701039
386	0.1481489747	0.2202938592
387	0.1476134963	0.219661176
388	0.1461766077	0.2181444507
389	0.1453820133	0.2167103422
390	0.1445123701	0.2153917939
391	0.1432145523	0.2132250172
392	0.142681924	0.2125913815
393	0.1418681829	0.2114043846
394	0.1408643826	0.2101485708
395	0.1396834731	0.2083534167
396	0.1386527749	0.2071615479
397	0.1380801575	0.2062490121
398	0.1371274575	0.2049119251
399	0.1364041458	0.2037031676
400	0.1349276103	0.2020103415
401	0.1339452503	0.2006637234
402	0.1330895099	0.1992147791
403	0.1319792077	0.1977750132
404	0.131506048	0.196705462
405	0.1306345672	0.1955884765
406	0.1298381	0.1941195455
407	0.128769671	0.1926484405
408	0.1277774742	0.1910403578
409	0.1269192891	0.1895670864
410	0.1262401368	0.1883387576
411	0.1255072305	0.187237297
412	0.1244880228	0.1860351214
413	0.1236332622	0.1849652899
414	0.1227098266	0.1835945025
415	0.1219719166	0.1825001932
416	0.1215594383	0.1817976007
417	0.1205852692	0.1806536578
418	0.1199847244	0.1797990086
419	0.1192377551	0.1785367331
420	0.1184505465	0.1775901445
421	0.1174628515	0.1758655572
422	0.1167013223	0.1748001295
423	0.1160993557	0.1737327128
424	0.1153658869	0.1727927705
425	0.114439863	0.1715739014
426	0.1137381097	0.1707174728
427	0.1133624474	0.1699828729
428	0.1123206789	0.1688400983
429	0.111063352	0.1671618898
430	0.1107796847	0.1668712369
431	0.1101502338	0.1661871555
432	0.1096506906	0.165588658
433	0.1085516923	0.1640831794
434	0.1077592557	0.1630689119
435	0.1070420225	0.1620945064
436	0.1062779026	0.1608921842
437	0.1056607921	0.1600899786
438	0.1048566649	0.1589025819
439	0.1041851181	0.1581428268
440	0.10365678	0.1574250917
441	0.1032426981	0.1567147815
442	0.1026714331	0.1558200998
443	0.1022789497	0.154810236
444	0.1017206276	0.1539392071
445	0.1012327198	0.152831382
446	0.1004994763	0.1519384086
447	0.09990318591	0.1510432738
448	0.09933886733	0.1500767334
449	0.09872289544	0.1492404306
450	0.09830357807	0.1485476299
451	0.09777631552	0.1475359489
452	0.09698382329	0.1464991349
453	0.09622357886	0.1454531314
454	0.09539013852	0.1441743091
455	0.09472051853	0.1433774335
456	0.09440113296	0.1428549077
457	0.09372063661	0.1419866163
458	0.0929233224	0.1408902769
459	0.09246471217	0.1402574573
460	0.09216194191	0.1396949261
461	0.09193620901	0.1393352245
462	0.09130644956	0.1380999588
463	0.09074581399	0.137424543
464	0.09022428536	0.1365396341
465	0.08976599235	0.1359762705
466	0.08933074542	0.1353492603
467	0.08904992849	0.1348224953
468	0.08833761621	0.1334700641
469	0.08732373181	0.1323711965
470	0.08667342379	0.1315075982
471	0.08621637923	0.1309443909
472	0.08594931622	0.1306300632
473	0.08541612602	0.1299113647
474	0.08502565094	0.1291688593
475	0.08447371897	0.128218609
476	0.0842335708	0.1277506063
477	0.08362914915	0.1268122436
478	0.08320493441	0.1261954063
479	0.08296730581	0.1256758424
